tune_interval,days_ahead,average,standardError
1,1, 2.411653962273598, 0.16306141073876654
1,2, 2.4567021671860907, 0.1507307912934849
1,3, 2.3334948829680235, 0.24687591393042546
1,4, 2.275116897360354, 0.12595654776095772
1,5, 2.406725604093731, 0.3069903611110254
1,6, 2.3599889658984194, 0.15494741208031274
3,1, 2.2630342148474396, 0.23634893771022017
3,2, 2.3367877624163724, 0.20064513075650495
3,3, 2.568922301927411, 0.3480265434434852
3,4, 2.427743660976288, 0.1923504826238889
3,5, 2.3539021754385607, 0.23034569918823844
3,6, 2.447967907684781, 0.49153853645866297
5,1, 2.3801110687369955, 0.13386772389215099
5,2, 2.4243911560676845, 0.25333822446307647
5,3, 2.295164257165507, 0.22146637863333749
5,4, 2.493048964243141, 0.17740095478244505
5,5, 2.5562473356344455, 0.5412776024022535
5,6, 2.558334445373685, 0.4051688424620953
7,1, 2.4383132315166325, 0.30673729582229536
7,2, 2.4850041745135036, 0.6731421827695194
7,3, 2.366746178143727, 0.20471780976192658
7,4, 2.436766888839276, 0.1717666670764906
7,5, 2.6125598452073007, 0.30429704122742174
7,6, 2.310451254924762, 0.25294582953558903
9,1, 2.330318312443554, 0.2350469495454856
9,2, 2.332438026947335, 0.14361248096052873
9,3, 2.241807500588364, 0.21929848692060544
9,4, 2.463985542457643, 0.49928734437525424
9,5, 2.36233897786567, 0.2592769691697217
9,6, 2.2947871008585112, 0.2610996635329273
12,1, 2.4041675193682543, 0.20981956586441872
12,2, 2.3273704840222775, 0.27597260099037096
12,3, 2.4586494348796815, 0.3372180773502976
12,4, 2.384591052563667, 0.2416980275019971
12,5, 2.29368631752397, 0.3261615072267936
12,6, 2.2745859430466147, 0.185746894621531
15,1, 2.2202463319530534, 0.27955482332500403
15,2, 2.2804524238084, 0.5895298060086492
15,3, 2.4066900770515245, 0.7007835521198849
15,4, 2.1193970244691185, 0.17284376642333626
15,5, 2.1904713148776285, 0.3258127532033764
15,6, 2.090354251980136, 0.20324473704787455
30,1, 2.1233358593458544, 0.24710312681096755
30,2, 2.2250102593168344, 0.25819730584811684
30,3, 2.0398664399266115, 0.11795175107077546
30,4, 2.0779777151094545, 0.14221890206392707
30,5, 2.2644568117869737, 0.2789433872375846
30,6, 2.048723596834942, 0.2453746472326421
