testDataTimeStamps,i,a,list_predict_future,list_actual_future,list_loss_future,list_loss_past
2020-04-07,9,4,5.606682026981135,5.0,0.9451352260060222,0.13173801744310099
2020-04-07,9,5,6.092170314942486,5.0,1.380264886652746,0.12657676988627833
2020-04-07,9,6,6.00775310285429,5.0,1.1726936588531685,0.1182075939060768
2020-04-07,12,1,5.029934825349496,5.0,1.1756933606588935,0.18540667503476538
2020-04-07,12,2,5.611271242274843,5.0,1.3428077514125407,0.12815120836920268
2020-04-07,12,3,5.351447923078677,5.0,1.4920827711255598,0.13352057752837296
2020-04-07,12,4,5.948044060881793,5.0,1.9341282733263445,0.21545807995509267
2020-04-07,12,5,5.19275170683238,5.0,1.312065543639337,0.2898944624544599
2020-04-07,12,6,5.5036112736622895,5.0,1.013367778479128,0.13406812449896138
2020-04-07,15,1,5.735016200364116,5.0,0.940991460282421,0.1283868184370491
2020-04-07,15,2,5.920765515456096,5.0,1.219096100957633,0.15203162902653367
2020-04-07,15,3,6.784326275474099,5.0,2.1777196835526813,0.158695744628252
2020-04-07,15,4,6.136859288155692,5.0,1.4513479267204406,0.1085388212210109
2020-04-07,15,5,5.973408544276184,5.0,1.1061064519171864,0.15117460025378446
2020-04-07,15,6,5.835415801019714,5.0,1.2387770420181734,0.20112355947897953
2020-04-07,30,1,5.581834401778421,5.0,0.9139458814609578,0.1006837955042358
2020-04-07,30,2,5.170734124610494,5.0,1.0725816644664277,0.11730399406788028
2020-04-07,30,3,5.738759129570221,5.0,0.8810576505661465,0.10484760163090119
2020-04-07,30,4,5.365720820115168,5.0,1.051165019241839,0.15931809811999115
2020-04-07,30,5,5.984802082171613,5.0,1.5363942733949956,0.14090818563859786
2020-04-07,30,6,5.47712243662261,5.0,0.9875571801502728,0.10675450846314605
2020-04-08,1,1,5.493615555251628,4.0,1.4936155552516275,0.13822192108398473
2020-04-08,1,2,5.8434479373823525,4.0,1.8434479373823527,0.11398623177157996
2020-04-08,1,3,5.955353383163521,4.0,1.9884811603471437,0.09734140559124638
2020-04-08,1,4,5.472078720973558,4.0,1.7621460446981918,0.11048012762050087
2020-04-08,1,5,5.487704856537693,4.0,1.6882625580652872,0.11913983731196776
2020-04-08,1,6,5.4198947754317395,4.0,1.491109675969715,0.11615777196855823
2020-04-08,3,1,5.542911709748751,4.0,1.5429117097487497,0.10893251065255279
2020-04-08,3,2,5.607393404829759,4.0,2.1662175937173185,0.13912608194354914
2020-04-08,3,3,5.5380111709494075,4.0,1.692610376476868,0.272715407400739
2020-04-08,3,4,6.370271734672436,4.0,2.410011115019681,0.15567652175520977
2020-04-08,3,5,5.92175060839469,4.0,1.9217506083946896,0.10947001653624167
2020-04-08,3,6,6.470972952978608,4.0,2.470972952978607,0.12304460679500703
2020-04-08,5,1,5.400891871306391,4.0,1.4232519227427805,0.1318041967173888
2020-04-08,5,2,5.503876655020138,4.0,2.3038766550201366,0.12475430315016861
2020-04-08,5,3,6.067481129395576,4.0,2.067481129395577,0.19810872344706665
2020-04-08,5,4,5.218857409425128,4.0,2.0188574094251286,0.15359094975666512
2020-04-08,5,5,6.023505606195918,4.0,2.034788831670038,0.10470422987810218
2020-04-08,5,6,5.1779539662091,4.0,1.8128687850470424,0.2103794718291621
2020-04-08,7,1,5.77953756516356,4.0,1.8233282647564786,0.12844309838876333
2020-04-08,7,2,6.4915076532257885,4.0,2.4915076532257894,0.12203961223806309
2020-04-08,7,3,5.469168185046165,4.0,1.4691681850461653,0.09835911951059621
2020-04-08,7,4,6.0136052099801365,4.0,2.029491967990147,0.1324226202875591
2020-04-08,7,5,6.326996695130109,4.0,2.3269966951301093,0.12028714241818808
2020-04-08,7,6,5.103649369655913,4.0,1.7615084306007014,0.12315718074479741
2020-04-08,9,1,5.908936811244328,4.0,1.9089368112443283,0.13978548269892915
2020-04-08,9,2,6.351154664880508,4.0,2.5095027124528935,0.13866800615077773
2020-04-08,9,3,5.064755919237605,4.0,1.3362388567864452,0.17738446311833622
2020-04-08,9,4,5.849871813032529,4.0,1.8498718130325273,0.1299979102687539
2020-04-08,9,5,6.138105050297009,4.0,2.1780592588962704,0.32685352684689084
2020-04-08,9,6,5.584621143777406,4.0,1.7093221855455791,0.12095409450499259
2020-04-08,12,1,5.876369270655102,4.0,1.876369270655103,0.13336957279029768
2020-04-08,12,2,4.961559003111537,4.0,1.3331897305353935,0.1198515702929888
2020-04-08,12,3,5.396873840868155,4.0,1.6141242408731786,0.11210815356595838
2020-04-08,12,4,5.659178001889143,4.0,1.8211930465824289,0.17119905021073173
2020-04-08,12,5,5.604385459096193,4.0,1.7037153836682568,0.21281275169196992
2020-04-08,12,6,6.04091857718258,4.0,2.040918577182581,0.12237746288184237
2020-04-08,15,1,5.420871178710884,4.0,1.865994902260371,0.1280402091208222
2020-04-08,15,2,6.235477123323349,4.0,2.2354771233233497,0.1450477280412883
2020-04-08,15,3,6.895333310775616,4.0,2.895333310775616,0.24686268913948806
2020-04-08,15,4,6.020881628329591,4.0,2.0208816283295907,0.10400662845893162
2020-04-08,15,5,6.275505057609417,4.0,2.2755050576094167,0.15782934608763624
2020-04-08,15,6,6.053191137465882,4.0,2.053191137465882,0.16128241451033423
2020-04-08,30,1,6.707682650827861,4.0,2.70768265082786,0.09998211115502906
2020-04-08,30,2,6.299022010906701,4.0,2.2990220109067008,0.11780074776115924
