testDataTimeStamps,list_predict_future,list_actual_future,list_loss_future,list_loss_past
2020-04-07,5.414609990321857,5.0,0.7247925034205567,0.10156951909764755
2020-04-08,5.909552560504828,4.0,1.9095525605048285,0.11370013081229509
2020-04-09,5.096235045892241,6.0,1.5877192875188932,0.10706999501140306
2020-04-10,4.441191978590497,4.0,0.7453714890077388,0.10185784958858927
2020-04-11,4.244591821903256,2.0,2.2445918219032563,0.10584109106746664
2020-04-12,3.2576932081255436,1.0,2.257693208125543,0.08807198278698504
2020-04-13,3.8959578202576353,10.0,6.104042179742365,0.07144955527140759
2020-04-14,3.3050771183044674,4.0,1.599973779847977,0.3210143914570708
2020-04-15,2.965666150765106,9.0,6.034333849234893,0.5073530054463794
2020-04-16,7.225524303347728,4.0,3.3398004805190027,0.39854146935379803
2020-04-17,3.6329993842844517,2.0,1.6329993842844512,0.143838054236139
2020-04-18,7.388487256743647,4.0,8.150521690403687,0.4783304373418398
2020-04-19,2.26416979657533,3.0,1.1333951701988014,0.3893633408622113
2020-04-20,9.028019693576976,4.0,5.028019693576977,0.7627531556803867
2020-04-21,4.174575462395484,5.0,1.0101656446244438,0.13679740889836461
2020-04-22,4.0268069634186885,5.0,0.9731930365813108,0.14168961490839008
2020-04-23,4.017585235765184,7.0,2.9824147642348158,0.13011973765116874
2020-04-24,3.96986153962658,7.0,3.0301384603734194,0.11263904618358092
2020-04-25,4.619251253815119,4.0,0.6192512538151187,0.11416765373979702
2020-04-26,4.224520603412637,2.0,2.2245206034126364,0.14670605866355266
2020-04-27,4.419511340317208,6.0,1.5804886596827925,0.1376772206592403
2020-04-28,4.788659307129128,8.0,3.211340692870872,0.12051232924893215
2020-04-29,5.313148347282816,2.0,3.3131483472828167,0.09125253180238305
2020-04-30,4.8404911995436875,1.0,3.8404911995436875,0.16413013077682626
2020-05-01,4.340848979922617,3.0,1.5578310724704572,0.1534449106252864
2020-05-02,4.135730471797954,3.0,1.237674269548799,0.14781064339159472
2020-05-03,4.2585318051378085,5.0,1.2591541250268532,0.1540438028102487
2020-05-04,4.538604126668574,2.0,2.5386041266685737,0.1569036100396482
2020-05-05,3.1005694715465233,3.0,1.3514521738808358,0.24785201932726544
2020-05-06,7.426985211339778,0.0,7.426985211339778,0.6672503478827478
