testDataTimeStamps,list_predict_future,list_actual_future,list_loss_future,list_loss_past
2020-04-07,5.073778017262326,5.0,1.6770690394814978,0.1763894465680883
2020-04-08,4.58533932786073,4.0,2.18533932786073,0.1920337539552066
2020-04-09,5.0717567203616944,6.0,1.2355427268858317,0.13937785769497696
2020-04-10,4.177154993996841,4.0,0.8120141297500713,0.11653018537224373
2020-04-11,3.9039186966661306,2.0,1.9039186966661308,0.12235409848406428
2020-04-12,4.278709016947562,1.0,3.2787090169475626,0.14534051881567273
2020-04-13,5.23430800894685,10.0,4.765691991053151,0.1880230901851642
2020-04-14,3.345920199458893,4.0,1.6055719998170694,0.1774062484313074
2020-04-15,4.991862897334216,9.0,4.008137102665784,0.16794278179898106
2020-04-16,4.598885058233462,4.0,1.9046578207377831,0.15938476100611593
2020-04-17,6.157044042073954,2.0,4.157044042073954,0.015208494517979213
2020-04-18,2.0755429262127643,4.0,1.9244570737872357,0.02373485384013847
2020-04-19,1.6576814183811586,3.0,1.5562591828767782,0.02707153360941893
2020-04-20,8.265689031577276,4.0,4.265689031577275,0.022863156789800956
2020-04-21,5.093364484424489,5.0,0.6429063815857319,0.02680661718940851
2020-04-22,3.7135872034878794,5.0,1.3490079427569859,0.24476688853196227
2020-04-23,3.3878027451757156,7.0,3.6121972548242836,0.160611896826349
2020-04-24,4.389821690576959,7.0,2.6101783094230413,0.19663460267907357
2020-04-25,5.423491212614451,4.0,1.8094156659177458,0.14664779546966503
2020-04-26,3.2620914688687663,2.0,1.4803297366558357,0.11363102172128978
2020-04-27,4.136831819618935,6.0,1.8631681803810647,0.18657305532362484
2020-04-28,4.796989936024557,8.0,3.2030100639754435,0.1871928885439828
2020-04-29,4.598494147449957,2.0,2.5984941474499568,0.25381292315165893
2020-04-30,5.894238802072431,0.9999999999999998,4.894238802072431,0.2287273201430466
2020-05-01,4.567955867269997,3.0,2.072775571610887,0.2894339323265246
2020-05-02,2.944083608072127,3.0,0.978243129248286,0.5578410601723032
2020-05-03,2.8153280746571503,5.0,2.2894751081072506,0.7889583304726004
2020-05-04,6.412696499582248,2.0,4.412696499582247,0.49218268369144375
2020-05-05,4.425808401624541,3.0,2.6258084016245413,0.669535226217852
2020-05-06,4.214443089597875,0.0,4.214443089597875,0.40755643517176504
