testDataTimeStamps,list_predict_future,list_actual_future,list_loss_future,list_loss_past
2020-04-07,5.565486778530169,5.0,0.8114648351622019,0.13132005576677389
2020-04-08,6.67046034243003,4.0,2.6704603424300304,0.3046738287474215
2020-04-09,4.3293199950722805,6.0,1.6706800049277195,0.23181668942778652
2020-04-10,4.835263879428919,4.0,1.1298395346964507,0.09670539242596095
2020-04-11,4.989287832959379,2.0,2.989287832959378,0.1633359750235187
2020-04-12,3.5988884568936172,1.0,2.598888456893617,0.0926924839898594
2020-04-13,4.694300816049604,10.0,5.305699183950397,0.11463779524558881
2020-04-14,4.908435166859004,4.0,1.3648761800821343,0.13076337882644487
2020-04-15,4.078648849667767,9.0,4.921351150332233,0.12226727613428279
2020-04-16,5.5729400573065115,4.0,1.572940057306511,0.03475156472425672
2020-04-17,4.266948585880479,2.0,2.2669485858804785,0.04414548693873251
2020-04-18,1.4003834240072464,4.0,2.5996165759927536,0.038463355691341516
2020-04-19,2.5613991841238,3.0,0.9194401639528882,0.04830871220699069
2020-04-20,6.94175410763461,4.0,2.94175410763461,0.031194738733362114
2020-04-21,4.723180406066041,5.0,0.7275917321445009,0.0427563183171615
2020-04-22,5.047390407810834,5.0,0.5702092819070321,0.033520325454932755
2020-04-23,4.228473902727769,7.0,2.77152609727223,0.03949483570547925
2020-04-24,4.056012667040774,7.0,2.9439873329592254,0.02978366295648399
2020-04-25,4.741611449404654,4.0,0.8240365785318854,0.15595389166821122
2020-04-26,3.8597808091715913,2.0,1.8597808091715908,0.14840210417414604
2020-04-27,3.837939321446258,6.0,2.162060678553742,0.2415121301975581
2020-04-28,4.673471970138711,8.0,3.326528029861289,0.140902830948668
2020-04-29,4.95989467145907,2.0,2.95989467145907,0.14600404982055698
2020-04-30,5.994087401246786,1.0,4.994087401246786,0.19824389824299213
2020-05-01,4.126366932623886,3.0,1.8308192006436397,0.4386013405558611
2020-05-02,3.0065057282234577,3.0,1.0712671079409617,0.24721402741605375
2020-05-03,2.802245195678989,5.0,2.1977548043210104,0.27343776907257633
2020-05-04,6.673703630375388,2.0,4.673703630375389,0.45568608901683333
2020-05-05,3.8601730436267667,3.0,1.7544863131217223,0.5795181151444482
2020-05-06,4.998817141428142,0.0,4.998817141428142,0.474953549632802
