testDataTimeStamps,list_predict_future,list_actual_future,list_loss_future,list_loss_past
2020-04-07,4.79162211141936,5.0,1.1961520847451965,0.19216005088482022
2020-04-08,5.05660500481665,4.0,1.0566050048166507,0.12933193164426726
2020-04-09,4.198324679579673,6.0,1.8016753204203269,0.12050455887160319
2020-04-10,5.393535312216852,4.0,1.393535312216852,0.11911787312807187
2020-04-11,6.105674671910038,2.0,4.1406907415267025,0.41819561300061253
2020-04-12,3.078526671359092,1.0,2.078526671359092,0.08582413679705024
2020-04-13,4.073201105355586,10.0,5.926798894644414,0.07204978641200019
2020-04-14,4.056320058815492,4.0,0.3488318810607649,0.035274963042421295
2020-04-15,3.2705305636888147,9.0,5.729469436311185,0.010040258899778855
2020-04-16,3.6471692701827516,4.0,1.084744202006092,0.02445220217484662
2020-04-17,5.131873711242237,2.0,3.1318737112422377,0.019926271682072106
2020-04-18,1.6333860472004695,4.0,2.3666139527995305,0.02478807398406134
2020-04-19,1.9921551317820563,3.0,1.007844868217944,0.02878811954743824
2020-04-20,7.536999694814606,4.0,3.536999694814605,0.04805895237564387
2020-04-21,3.8358180451937898,5.0,1.1641819548062102,0.14968267357009488
2020-04-22,4.591103898000077,5.0,0.5098032831684705,0.10056994979164013
2020-04-23,4.429259944461649,7.0,2.5707400555383506,0.10269996256145945
2020-04-24,3.9710643253649303,7.0,3.0289356746350697,0.06903240599357682
2020-04-25,4.660140550831184,4.0,1.3551035958052255,0.18589028218615006
2020-04-26,3.7243837363990053,2.0,1.7243837363990049,0.08792711194230576
2020-04-27,4.587375029214483,6.0,1.4126249707855172,0.1183379341360143
2020-04-28,4.7501242297629505,8.0,3.2498757702370495,0.09475982906877688
2020-04-29,6.4464347234958215,2.0,4.446434723495821,0.11159731901173135
2020-04-30,5.512385364990284,1.0,4.512385364990284,0.08592966978455108
2020-05-01,3.187145916901127,3.0,1.3871459169011267,0.6850809589456016
2020-05-02,4.744987171013863,3.0,2.8856397265523714,0.6092914774766867
2020-05-03,4.859890900506654,5.0,0.7069992725567659,0.23867613666366597
2020-05-04,4.723365487892719,2.0,2.7233654878927203,0.20948304269229778
2020-05-05,5.082719179087139,3.0,2.082719179087139,0.3058295099956461
2020-05-06,3.4554360753495317,0.0,3.4554360753495317,0.20173992478401032
